statisticalID,name,partOf,code,physicalType
324,AMUDAT,Location/0,ADMIN_STRUCTURE,Jurisdiction
325,KOLE,Location/0,ADMIN_STRUCTURE,Jurisdiction
326,LAMWO,Location/0,ADMIN_STRUCTURE,Jurisdiction
327,NAPAK,Location/0,ADMIN_STRUCTURE,Jurisdiction
328,NWOYA,Location/0,ADMIN_STRUCTURE,Jurisdiction
329,OTUKE,Location/0,ADMIN_STRUCTURE,Jurisdiction
330,ZOMBO,Location/0,ADMIN_STRUCTURE,Jurisdiction
331,OMORO,Location/0,ADMIN_STRUCTURE,Jurisdiction
332,PAKWACH,Location/0,ADMIN_STRUCTURE,Jurisdiction
333,KWANIA,Location/0,ADMIN_STRUCTURE,Jurisdiction
334,NABILATUK,Location/0,ADMIN_STRUCTURE,Jurisdiction
335,KARENGA,Location/0,ADMIN_STRUCTURE,Jurisdiction
337,OBONGI,Location/0,ADMIN_STRUCTURE,Jurisdiction
338,ARUA CITY,Location/0,ADMIN_STRUCTURE,Jurisdiction
339,GULU CITY,Location/0,ADMIN_STRUCTURE,Jurisdiction
340,ARUA,Location/0,ADMIN_STRUCTURE,Jurisdiction
340,TEREGO,Location/0,ADMIN_STRUCTURE,Jurisdiction
341,LIRA CITY,Location/0,ADMIN_STRUCTURE,Jurisdiction
401,BUNDIBUGYO,Location/0,ADMIN_STRUCTURE,Jurisdiction
402,BUSHENYI,Location/0,ADMIN_STRUCTURE,Jurisdiction
403,HOIMA,Location/0,ADMIN_STRUCTURE,Jurisdiction
404,KABALE,Location/0,ADMIN_STRUCTURE,Jurisdiction
405,KABAROLE,Location/0,ADMIN_STRUCTURE,Jurisdiction
406,KASESE,Location/0,ADMIN_STRUCTURE,Jurisdiction
407,KIBAALE,Location/0,ADMIN_STRUCTURE,Jurisdiction
408,KISORO,Location/0,ADMIN_STRUCTURE,Jurisdiction
409,MASINDI,Location/0,ADMIN_STRUCTURE,Jurisdiction
410,MBARARA,Location/0,ADMIN_STRUCTURE,Jurisdiction
411,NTUNGAMO,Location/0,ADMIN_STRUCTURE,Jurisdiction
412,RUKUNGIRI,Location/0,ADMIN_STRUCTURE,Jurisdiction
413,KAMWENGE,Location/0,ADMIN_STRUCTURE,Jurisdiction
414,KANUNGU,Location/0,ADMIN_STRUCTURE,Jurisdiction
415,KYENJOJO,Location/0,ADMIN_STRUCTURE,Jurisdiction
416,BULIISA,Location/0,ADMIN_STRUCTURE,Jurisdiction
417,IBANDA,Location/0,ADMIN_STRUCTURE,Jurisdiction
418,ISINGIRO,Location/0,ADMIN_STRUCTURE,Jurisdiction
419,KIRUHURA,Location/0,ADMIN_STRUCTURE,Jurisdiction
420,BUHWEJU,Location/0,ADMIN_STRUCTURE,Jurisdiction
421,KIRYANDONGO,Location/0,ADMIN_STRUCTURE,Jurisdiction
422,KYEGEGWA,Location/0,ADMIN_STRUCTURE,Jurisdiction
423,MITOOMA,Location/0,ADMIN_STRUCTURE,Jurisdiction
424,NTOROKO,Location/0,ADMIN_STRUCTURE,Jurisdiction
425,RUBIRIZI,Location/0,ADMIN_STRUCTURE,Jurisdiction
426,SHEEMA,Location/0,ADMIN_STRUCTURE,Jurisdiction
427,KAGADI,Location/0,ADMIN_STRUCTURE,Jurisdiction
428,KAKUMIRO,Location/0,ADMIN_STRUCTURE,Jurisdiction
429,RUBANDA,Location/0,ADMIN_STRUCTURE,Jurisdiction
430,RUKIGA,Location/0,ADMIN_STRUCTURE,Jurisdiction
431,BUNYANGABU,Location/0,ADMIN_STRUCTURE,Jurisdiction
432,KIKUUBE,Location/0,ADMIN_STRUCTURE,Jurisdiction
433,KAZO,Location/0,ADMIN_STRUCTURE,Jurisdiction
434,KITAGWENDA,Location/0,ADMIN_STRUCTURE,Jurisdiction
435,RWAMPARA,Location/0,ADMIN_STRUCTURE,Jurisdiction
436,FORT PORTAL CITY,Location/0,ADMIN_STRUCTURE,Jurisdiction
437,MBARARA CITY,Location/0,ADMIN_STRUCTURE,Jurisdiction
438,HOIMA CITY,Location/0,ADMIN_STRUCTURE,Jurisdiction
104,LUWEERO,Location/0,ADMIN_STRUCTURE,Jurisdiction
336,MADI-OKOLLO,Location/0,ADMIN_STRUCTURE,Jurisdiction
