statisticalID,name,partOf,code,physicalType
CT-068,BUGABULA COUNTY,Location/205,ADMIN_STRUCTURE,Jurisdiction
CT-069,BUZAAYA COUNTY,Location/205,ADMIN_STRUCTURE,Jurisdiction
CT-070,KAMULI MUNICIPALITY,Location/205,ADMIN_STRUCTURE,Jurisdiction
CT-071,KAPCHORWA MUNICIPALITY,Location/206,ADMIN_STRUCTURE,Jurisdiction
CT-072,TINGEY COUNTY,Location/206,ADMIN_STRUCTURE,Jurisdiction
CT-073,NGARIAM COUNTY,Location/207,ADMIN_STRUCTURE,Jurisdiction
CT-074,TOROMA COUNTY,Location/207,ADMIN_STRUCTURE,Jurisdiction
CT-075,USUK COUNTY,Location/207,ADMIN_STRUCTURE,Jurisdiction
CT-076,KANYUM COUNTY,Location/208,ADMIN_STRUCTURE,Jurisdiction
CT-077,KUMI COUNTY,Location/208,ADMIN_STRUCTURE,Jurisdiction
CT-078,KUMI MUNICIPALITY,Location/208,ADMIN_STRUCTURE,Jurisdiction
CT-079,BUNGOKHO CENTRAL COUNTY,Location/209,ADMIN_STRUCTURE,Jurisdiction
CT-080,BUNGOKHO COUNTY,Location/209,ADMIN_STRUCTURE,Jurisdiction
CT-081,AGULE COUNTY,Location/210,ADMIN_STRUCTURE,Jurisdiction
CT-082,GOGONYO COUNTY,Location/210,ADMIN_STRUCTURE,Jurisdiction
CT-083,KIBALE COUNTY,Location/210,ADMIN_STRUCTURE,Jurisdiction
CT-084,PALLISA COUNTY,Location/210,ADMIN_STRUCTURE,Jurisdiction
CT-085,DAKABELA COUNTY,Location/211,ADMIN_STRUCTURE,Jurisdiction
CT-086,GWERI COUNTY,Location/211,ADMIN_STRUCTURE,Jurisdiction
CT-087,SOROTI COUNTY,Location/211,ADMIN_STRUCTURE,Jurisdiction
CT-088,TORORO MUNICIPALITY,Location/212,ADMIN_STRUCTURE,Jurisdiction
CT-089,TORORO NORTH COUNTY,Location/212,ADMIN_STRUCTURE,Jurisdiction
CT-090,TORORO SOUTH COUNTY,Location/212,ADMIN_STRUCTURE,Jurisdiction
CT-091,WEST BUDAMA CENTRAL COUNTY,Location/212,ADMIN_STRUCTURE,Jurisdiction
CT-092,WEST BUDAMA COUNTY,Location/212,ADMIN_STRUCTURE,Jurisdiction
CT-093,WEST BUDAMA NORTH EAST COUNTY,Location/212,ADMIN_STRUCTURE,Jurisdiction
CT-094,KABERAMAIDO COUNTY,Location/213,ADMIN_STRUCTURE,Jurisdiction
CT-095,OCHERO COUNTY,Location/213,ADMIN_STRUCTURE,Jurisdiction
CT-096,BUNYA COUNTY,Location/214,ADMIN_STRUCTURE,Jurisdiction
CT-097,BUDADIRI COUNTY,Location/215,ADMIN_STRUCTURE,Jurisdiction
CT-098,AMURIA COUNTY,Location/216,ADMIN_STRUCTURE,Jurisdiction
CT-099,ORUNGO COUNTY,Location/216,ADMIN_STRUCTURE,Jurisdiction
CT-100,BUDAKA COUNTY,Location/217,ADMIN_STRUCTURE,Jurisdiction
CT-101,IKI-IKI COUNTY,Location/217,ADMIN_STRUCTURE,Jurisdiction
CT-102,BUSHIGAI COUNTY,Location/218,ADMIN_STRUCTURE,Jurisdiction
CT-103,LUTSESHE COUNTY,Location/218,ADMIN_STRUCTURE,Jurisdiction
CT-104,MANJIYA COUNTY,Location/218,ADMIN_STRUCTURE,Jurisdiction
CT-105,BUKEDEA COUNTY,Location/219,ADMIN_STRUCTURE,Jurisdiction
CT-106,KACHUMBALA COUNTY,Location/219,ADMIN_STRUCTURE,Jurisdiction
CT-107,KONGASIS COUNTY,Location/220,ADMIN_STRUCTURE,Jurisdiction
CT-108,T'OO COUNTY,Location/220,ADMIN_STRUCTURE,Jurisdiction
CT-109,BUNYOLE EAST COUNTY,Location/221,ADMIN_STRUCTURE,Jurisdiction
CT-110,BUNYOLE WEST COUNTY,Location/221,ADMIN_STRUCTURE,Jurisdiction
CT-111,BULAMOGI COUNTY,Location/222,ADMIN_STRUCTURE,Jurisdiction
CT-112,BULAMOGI NORTH WEST COUNTY,Location/222,ADMIN_STRUCTURE,Jurisdiction
CT-113,BUBULO WEST COUNTY,Location/223,ADMIN_STRUCTURE,Jurisdiction
CT-114,BUTIRU COUNTY,Location/223,ADMIN_STRUCTURE,Jurisdiction
CT-115,BUKONO COUNTY,Location/224,ADMIN_STRUCTURE,Jurisdiction
CT-116,BUSIKI COUNTY,Location/224,ADMIN_STRUCTURE,Jurisdiction
CT-117,BUSIKI NORTH COUNTY,Location/224,ADMIN_STRUCTURE,Jurisdiction
CT-118,BULAMBULI COUNTY,Location/225,ADMIN_STRUCTURE,Jurisdiction
CT-119,ELGON COUNTY,Location/225,ADMIN_STRUCTURE,Jurisdiction
CT-120,ELGON NORTH COUNTY,Location/225,ADMIN_STRUCTURE,Jurisdiction
CT-121,BUDIOPE EAST COUNTY,Location/226,ADMIN_STRUCTURE,Jurisdiction
CT-122,BUDIOPE WEST COUNTY,Location/226,ADMIN_STRUCTURE,Jurisdiction
CT-123,KABWERI COUNTY,Location/227,ADMIN_STRUCTURE,Jurisdiction
